no,source,text,Indicator,class
1,issue,"Camel 2.17.x upgraded spring version to 4.x in most of the components. but for camel-cxf component, it still has to use spring-dm and spring version 3.x, the spring version range in the Import-Package should keep [3.2,4), not [4.1,5). Now the ERROR will happen when install camel-cxf feature into karaf container (in case of both Spring 4.x and Spring 3.x are installed in the container) To fix it, make change to the pom.xml",using_obsolete_technology,N
2,issue,It'd be nice if we could upgrade camel-grpc to use the latest grpc-java library as there are some improvements to how it does class loading:,using_obsolete_technology,Y
3,issue,The current java transport client is due EOL in near future and it will be a good idea we switch the the new high level rest client instead. The new high level rest client is only released from version 5.6.0 and towards so an general upgrade of the dependencies is required for the ELK component. This also add the support for basic authentication without the need of x-pack. This is usefull when running ELK behind a reverse proxy.,using_obsolete_technology,Y
4,issue,"As we don't use the CxfSoap component any more, it's time to clean it up.",using_obsolete_technology,N
5,issue,"@ Charles I just checked out the example, I think you can put all the camel routes configuration files into a single module and use Profile to start the services one by one.",violation_of_modularity,N
6,issue,HawtDB 1.1 has been released. Change log at: We should upgrade to pick up the listed bug fixes:,using_obsolete_technology,N
7,issue,Tracy I think the SMX bundle is *wrong* as Jasypt 1.7 got rid of commons-lang and commons-codec (the latter has bugs). So we need an updated SMX bundle which *do not* important/use any of those commons stuff.,using_obsolete_technology,Y
8,issue,I would like to upgrade to Jasypt 1.7 as we can lose the JDK1.5 stuff and other dependencies which is no longer needed.,using_obsolete_technology,Y
9,issue,The camel-atom component is using an ancient incubator version of abdera which will make it hard to work with camel-cxf. Updating to 1.1.2 which is what CXF uses would help.,using_obsolete_technology,Y
10,issue,I am currently looking into the dependencies betwen packages in camel-core. The packages org.apache.camel and form the camel api. So I am trying to make them not depend on other packages from camel-core. One problem there is the starter class Main. It needs access to impl packages as it needs to start camel. So it should not live in org.apache.camel. I propose to move it to To not break anything right now I will create a deprecated class Main in org.apache.camel that extends the moved Main. We can remove the deprecated version in camel 3.0,violation_of_modularity,Y
11,issue,"Camel Blueprint support is limited/hardcoded to Aries. This makes it impossible to use in JBoss 7 or with another blueprint implementation like Gemini. The following classes use various things from Aries. * * * * * Now obviously the last three are related to the custom namespace handler for Aries. It would be good if these were moved into their own module, something like or the like. That people can choose to include if they would like to use the custom blueprint namespace handler in Aries. Otherwise the camel-blueprint module should be implementation agnostic and work on all blueprint containers. Not just Aries.",violation_of_modularity,Y
12,issue,"There are bunch fixes of ABDERA-281, ABDERA-290 can help camel-atom work smoothly with OSGi platform. We need to upgrade the the abdera to 1.1.3 once it is out.",using_obsolete_technology,Y
13,issue,CXF 2.x uses deprecated class removed in Spring 4. Because of that camel-cxf doesn't work with Spring 4. This issue has been discussed on this (2) forum thread already. (1) (2),using_obsolete_technology,N
14,issue,When downloading artifacts we have a many repos. Several of them are specific for a single/few components. We should move these repo settings to these targeted components and let the uber pom.xml have only the major public maven repos. Maybe some of the repos is out-of-date and not used anymore.,violation_of_modularity,Y
15,issue,"Should be updated to latest release as we are far behind on this one. It may no longer work in OSGi and that is fine, just remove the feature",using_obsolete_technology,N
16,issue,camel-examples should not be in BOM,violation_of_modularity,N
17,issue,There is somekind of routebuilder ref you can add to ref to a single class. However we could consider restrucutre the DSL a bit so the package / routebuilderef or what we call it is in a configuration element. We could move all the jmx and other stuff in that one too. so you have a <configuration> element to start with where we can add all the weird camel stuff. And then have a more clean root element with fewer high level tags to select among.,violation_of_modularity,N
18,issue,"No, this was built from source; I grabbed a tarball, modified the .gclient line to include a safesync_url, added a ~/.gyp/include.gypi file to fix the architecture, gclient sync'ed, and then moved to src/build to run hammer. I wouldn't discount the package maintainer (e.g., me) having messed up, though.",violation_of_modularity,N
19,issue,38462: Extension manifest tests should be moved to,violation_of_modularity,N
20,issue,"It's not clear to me yet why this happens. I've looked at the code and haven't figured out why your libraries are using libc's malloc at that point. The first thing I would suggest you do is upgrade gtk. You seem to be stuck on 2.10, which is many years old.",using_obsolete_technology,N
21,issue,68550: Quicktime Plugin for Chrome 10.0.612.3 dev outdated?,using_obsolete_technology,N
22,issue,View exposes numerous a11y accessors and setters. It'd be nicer if there was an a11y metadata object that a View could configure and return. This would also remove the windows.h dependency from view.h,violation_of_modularity,Y
23,issue,9120: Move a11y accessors on View onto separate utility object,violation_of_modularity,N
24,issue,"The previous reply is correct. It seems you're using the latest version of delete-project's stable-2.16 branch, with an older version of Gerrit that doesn't implement the withLimit API. Either upgrade gerrit to 2.16.5, or install delete-project that is built from an older revision. The withLimit usage was added in , so it should work if you build delete-project at the previous revision Note that the withLimit change was implemented to fix a quite severe performance issue in the plugin. It is recommended to take the route of upgrading gerrit to 2.16.5.",using_obsolete_technology,Y
25,issue,I guess must be adjusted to respect the new folder /proto/testing/.,violation_of_modularity,N
26,issue,"Reopening but lowering priority, since this is a serious problem for people using the old UI. Hopefully someone will have time to do one of (a) migrate the project access page in the old UI to use the REST API, (b) get rid of the old UI, or (c) make the gwtjsonrpc handler use the same ACL check logic as the REST API does.",using_obsolete_technology,Y
27,issue,"Python 2 is very near to its end of life [1]. Some Linux distributions already switched to using Python 3 per default: * Arch Linux (2010): [2] * OpenMandriva (2017): [3] * Gentoo uses a configurable option with Python 3 as default: [4] Other will do it in near future: * OpenSuse: [5] * Fedora: [6] * [1] * [2] * [3] * [4] * [5] * [6] Gerrit build tool chain should work out of the box on those systems that switched to Python 3 per default, i.e. /usr/bin/python is pointing to Python 3.x.",using_obsolete_technology,Y
28,issue,looks better. The version declaration needs to go into for unified versions across the entire project. HADOOP-9594 is an example of this,violation_of_modularity,N
29,issue,Moved version declaration into,violation_of_modularity,N
30,issue,You seemed to have unnecessarily moved the doRead() function's location in the server.java file. Can you please leave it in its original place in the file and please resubmit the patch.,violation_of_modularity,N
31,issue,"Actually, , can you move the test from to +1 once it is addressed.",violation_of_modularity,N
