alias,source,project,id,non_atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT,
NON-ATD-1,issue section,camel,1014,CAMEL-1014,ExpressionType is missing in Spring DSL,a6f1b07a25f1,2007-08-09,camel-core/src/main/java/org/apache/camel/builder/DeadLetterChannelBuilder.java,10,284e1f8df76ee3fa4247863c5dca6d0f2aa85604,2008-10-22,camel-core/src/main/java/org/apache/camel/builder/DeadLetterChannelBuilder.java,2,12,7,15,129,147,31,35,0.0155038759689922,0.0930232558139535,0.0476190476190476,0.102040816326531,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/builder/ErrorHandlerBuilder.java,8,,,camel-core/src/main/java/org/apache/camel/builder/ErrorHandlerBuilder.java,7,2,18,3,9,11,0,0,0.777777777777778,0.222222222222222,1.63636363636364,0.272727272727273,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/builder/ErrorHandlerBuilderSupport.java,8,,,camel-core/src/main/java/org/apache/camel/builder/ErrorHandlerBuilderSupport.java,3,3,6,3,24,23,5,5,0.125,0.125,0.260869565217391,0.130434782608696,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/builder/LoggingErrorHandlerBuilder.java,7,,,camel-core/src/main/java/org/apache/camel/builder/LoggingErrorHandlerBuilder.java,1,7,1,7,44,52,9,11,0.0227272727272727,0.159090909090909,0.0192307692307692,0.134615384615385,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/builder/NoErrorHandlerBuilder.java,4,,,camel-core/src/main/java/org/apache/camel/builder/NoErrorHandlerBuilder.java,2,4,2,4,11,11,2,2,0.181818181818182,0.363636363636364,0.181818181818182,0.363636363636364,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,21,,,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,69,13,441,15,84,136,18,33,0.821428571428571,0.154761904761905,3.24264705882353,0.110294117647059,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/model/ExceptionType.java,20,,,camel-core/src/main/java/org/apache/camel/model/ExceptionType.java,3,8,19,15,87,185,17,43,0.0344827586206897,0.0919540229885058,0.102702702702703,0.0810810810810811,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/model/ProcessorType.java,89,,,camel-core/src/main/java/org/apache/camel/model/ProcessorType.java,25,48,96,72,368,845,84,186,0.0679347826086957,0.130434782608696,0.113609467455621,0.085207100591716,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/model/RoutesType.java,16,,,camel-core/src/main/java/org/apache/camel/model/RoutesType.java,2,13,6,15,115,141,23,29,0.0173913043478261,0.11304347826087,0.0425531914893617,0.106382978723404,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/model/TryType.java,18,,,camel-core/src/main/java/org/apache/camel/model/TryType.java,1,9,3,8,126,118,27,24,0.00793650793650794,0.0714285714285714,0.0254237288135593,0.0677966101694915,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java,28,,,camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java,3,9,12,16,104,200,24,45,0.0288461538461538,0.0865384615384615,0.06,0.08,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/processor/ErrorHandlerSupport.java,7,,,camel-core/src/main/java/org/apache/camel/processor/ErrorHandlerSupport.java,4,4,5,7,33,45,6,9,0.121212121212121,0.121212121212121,0.111111111111111,0.155555555555556,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/main/java/org/apache/camel/processor/LoggingErrorHandler.java,5,,,camel-core/src/main/java/org/apache/camel/processor/LoggingErrorHandler.java,2,6,3,5,94,100,27,29,0.0212765957446809,0.0638297872340426,0.03,0.05,
NON-ATD-1,,,,CAMEL-1014,,,,camel-core/src/test/java/org/apache/camel/processor/ValidationWithExceptionTest.java,2,,,camel-core/src/test/java/org/apache/camel/processor/ValidationWithExceptionTest.java,0,3,0,3,15,15,1,1,0,0.2,0,0.2,
